Instante,CargaEnergiaGWh,CargaEnergiaMWMed,IdSubSistema
"1997-01-29T22:00:00",125.37672,5224.03,"NE "
"1997-01-29T22:00:00",155.96856,6498.69,"S  "
"1997-01-29T22:00:00",586.5634,24440.14166667,"SE "
"1997-01-30T22:00:00",50.44368,2101.82,"N  "
"1997-01-30T22:00:00",126.38592,5266.08,"NE "
"1997-01-30T22:00:00",150.72336,6280.14,"S  "
"1997-01-30T22:00:00",587.4635,24477.64583333,"SE "
"1997-01-31T22:00:00",53.14368,2214.32,"N  "
"1997-01-31T22:00:00",118.81968,4950.82,"NE "
"1997-01-31T22:00:00",127.4052,5308.55,"S  "
"1997-01-31T22:00:00",531.0489,22127.0375,"SE "
"1997-02-01T22:00:00",58.5072,2437.8,"N  "
"1997-02-01T22:00:00",108.19656,4508.19,"NE "
"1997-02-01T22:00:00",110.8332,4618.05,"S  "
"1997-02-01T22:00:00",469.0493,19543.72083333,"SE "
"1997-02-02T22:00:00",26.65344,1110.56,"N  "
"1997-02-02T22:00:00",124.2732,5178.05,"NE "
"1997-02-02T22:00:00",142.50864,5937.86,"S  "
"1997-02-02T22:00:00",576.6369,24026.5375,"SE "
"1997-02-03T22:00:00",14.54256,605.94,"N  "
"1997-02-03T22:00:00",129.98568,5416.07,"NE "
"1997-02-03T22:00:00",147.31464,6138.11,"S  "
"1997-02-03T22:00:00",589.2059,24550.24583333,"SE "
"1997-02-04T22:00:00",54.792,2283.0,"N  "
"1997-02-04T22:00:00",131.07504,5461.46,"NE "
"1997-02-04T22:00:00",149.25384,6218.91,"S  "
"1997-02-04T22:00:00",592.9354,24705.64166667,"SE "
"1997-02-05T22:00:00",55.97016,2332.09,"N  "
"1997-02-05T22:00:00",127.99248,5333.02,"NE "
"1997-02-05T22:00:00",145.524,6063.5,"S  "
"1997-02-05T22:00:00",593.9202,24746.675,"SE "
"1997-02-06T22:00:00",41.4276,1726.15,"N  "
"1997-02-06T22:00:00",128.00904,5333.71,"NE "
"1997-02-06T22:00:00",146.92392,6121.83,"S  "
"1997-02-06T22:00:00",598.0294,24917.89166667,"SE "
"1997-02-07T22:00:00",28.9404,1205.85,"N  "
"1997-02-07T22:00:00",119.892,4995.5,"NE "
"1997-02-07T22:00:00",128.34528,5347.72,"S  "
